time,history
2022-09-07 09:44:47.352988,Walk
2022-09-07 12:27:47.390254,Pee
2022-09-07 16:11:25.671995,Pee
2022-09-07 16:50:50.072666,Play
2022-09-07 17:05:08.387816,Poop
2022-09-07 17:49:38.558224,Play
2022-09-07 20:08:55.479993,Pee
2022-09-07 21:08:07.197984,Walk
2022-09-07 21:08:54.704443,Excursion
2022-09-07 21:08:55.479993,Pee
2022-09-08 08:20:01.852704,Pee
2022-09-08 08:20:05.325803,Play
2022-09-08 08:24:42.944864,Accident
2022-09-08 08:28:56.815836,Breakfast
2022-09-08 13:20:41.821599,Pee
2022-09-08 15:21:12.003814,Skin
2022-09-08 17:25:51.200560,Walk
2022-09-08 17:25:52.331416,Pee
2022-09-08 17:25:52.577958,Poop
2022-09-08 18:38:47.842175,Dinner
2022-09-08 18:45:00.000000, Crate
2022-09-08 22:16:35.615079,Pee
2022-09-09 08:15:39.410902,Walk
2022-09-09 08:15:39.994274,Pee
2022-09-09 08:15:40.274411,Poop
2022-09-09 08:37:36.107107,Play
2022-09-09 09:44:38.443307,Breakfast
2022-09-09 11:10:18.233910,Pee
2022-09-09 11:10:19.364666,Walk
2022-09-09 13:10:36.961683,Pee
2022-09-09 14:10:37.668839,Excursion
2022-09-09 16:47:27.817191,Pee
2022-09-09 17:43:38.665841,Dinner
2022-09-10 00:19:42.059427,Pee
2022-09-10 10:09:09.495725,Walk
2022-09-10 10:09:10.757307,Pee
2022-09-10 10:09:11.093186,Poop
2022-09-10 10:09:13.232665,Breakfast
2022-09-10 10:19:13.419382,Crate
2022-09-10 12:27:48.109350,Pee
2022-09-10 15:41:39.574305,Pee
2022-09-10 15:41:40.535385,Play
2022-09-10 18:04:13.459458,Walk
2022-09-10 18:04:14.684405,Pee
2022-09-10 18:04:15.013967,Poop
2022-09-10 18:25:29.735943,Crate
2022-09-10 18:26:55.044882,Dinner
2022-09-10 19:00:00.924553,Accident
2022-09-10 21:00:29.496480,Pee
2022-09-10 23:30:33.851717,Pee
2022-09-11 08:37:15.139109,Pee
2022-09-11 08:37:16.270113,Poop
2022-09-11 08:42:38.376632,Breakfast
2022-09-11 10:07:56.393935,Walk
2022-09-11 10:07:57.624533,Pee
2022-09-11 10:07:57.859950,Poop
2022-09-11 10:12:38.376632,Breakfast
2022-09-11 15:35:01.711700,Pee
2022-09-11 18:54:05.049440,Excursion
2022-09-11 18:54:05.500592,Pee
2022-09-11 18:54:05.819714,Poop
2022-09-11 18:54:44.541646,Pee
2022-09-11 18:54:45.115464,Poop
2022-09-11 18:54:45.722997,Pee
2022-09-11 18:54:46.239217,Walk
2022-09-11 18:54:46.973684,Excursion
2022-09-11 21:32:15.935052,Pee
2022-09-12 08:38:54.648140,Pee and Poop
2022-09-12 08:39:40.365107,Breakfast
2022-09-12 08:49:21.248651,Crate
2022-09-12 13:29:22.818497,Pee
2022-09-12 13:47:55.210315,Play
2022-09-12 16:51:31.774179,Pee
2022-09-12 20:03:38.661713,Pee
2022-09-12 20:03:42.597522,Walk
2022-09-12 20:03:43.744927,Poop
2022-09-12 20:10:00.413611,Dinner
2022-09-12 22:49:42.756165,Pee
2022-09-13 08:35:28.488747,Walk
2022-09-13 08:35:29.685577,Pee
2022-09-13 08:35:29.916552,Poop
2022-09-13 08:37:47.271865,Breakfast
2022-09-13 10:40:07.557579,Play
2022-09-13 10:40:16.474317,Skin
2022-09-13 11:33:18.167024,Pee
2022-09-13 11:49:28.458320,Crate
2022-09-13 15:02:51.740502,Pee
2022-09-13 15:02:52.141342,Walk
2022-09-13 16:39:59.511135,Pee
2022-09-13 19:20:56.304929,Walk
2022-09-13 19:22:26.386720,Excursion
2022-09-13 19:41:20.755242,Dinner
2022-09-13 19:59:49.940017,Pee and Poop
2022-09-13 23:10:18.541283,Pee
2022-09-14 08:16:09.232112,Pee
2022-09-14 08:16:09.397422,Poop
2022-09-14 08:21:02.435559,Breakfast
2022-09-14 09:21:22.578951,Walk
2022-09-14 12:06:40.312771,Accident
2022-09-14 12:06:41.672326,Pee
2022-09-14 12:15:49.559425,Play
2022-09-14 15:25:38.768168,Pee
2022-09-14 15:36:53.234709,Poop
2022-09-14 17:11:53.605323,Pee
2022-09-14 19:02:30.606142,Skin
2022-09-14 19:04:49.300830,Dinner
2022-09-14 21:56:43.446526,Walk
2022-09-15 08:43:05.471834,Breakfast
2022-09-15 08:54:08.461051,Pee
2022-09-15 08:54:08.547422,Poop
2022-09-15 09:53:34.680936,Crate
2022-09-15 13:09:04.769366,Walk
2022-09-15 13:58:05.676690,Skin
2022-09-15 15:50:35.569639,Pee
2022-09-15 15:50:37.411482,Poop
2022-09-19 08:26:45.634657,Pee
2022-09-19 08:26:47.997973,Poop
2022-09-19 08:26:48.638048,Breakfast
2022-09-19 10:42:41.231810,Pee and Poop
2022-09-19 10:53:32.708884,Crate
2022-09-19 16:18:40.966715,Pee
2022-09-19 16:36:39.947486,Crate
2022-09-19 18:08:55.680526,Poop
2022-09-19 18:08:58.054669,Pee
2022-09-19 20:09:17.607557,Walk
2022-09-19 20:09:19.059835,Excursion
2022-09-19 20:11:25.577226,Dinner
2022-09-20 00:10:46.381976,Pee
2022-09-20 08:19:12.557087,Pee and Poop
2022-09-20 08:19:14.615511,Breakfast
2022-09-20 09:25:46.856110,Play
2022-09-20 10:06:34.697229,Walk
2022-09-20 12:55:26.384028,Pee
2022-09-20 16:00:46.237326,Pee
2022-09-20 18:00:26.549168,Pee
2022-09-20 18:36:40.677580,Poop
2022-09-20 21:13:28.294150,Walk
2022-09-20 21:13:29.523582,Excursion
2022-09-20 21:13:26.549168,Pee
2022-09-20 22:22:48.518818,Dinner
2022-09-21 10:23:55.947386,Pee
2022-09-21 10:23:56.724404,Poop
2022-09-21 10:23:57.475978,Walk
2022-09-21 10:23:58.200329,Excursion
2022-09-21 10:23:59.074884,Breakfast
2022-09-21 12:31:56.319566,Pee
2022-09-21 17:22:20.835197,Pee
2022-09-21 18:54:53.707413,Dinner
2022-09-21 19:48:35.052103,Pee
2022-09-21 22:50:35.195286,Pee
2022-09-22 08:31:21.047106,Pee
2022-09-22 08:31:21.469661,Poop
2022-09-22 08:31:22.697410,Walk
2022-09-22 08:31:23.453687,Poop
2022-09-22 08:35:31.105017,Breakfast
2022-09-22 14:57:36.303365,Pee
2022-09-22 17:56:52.747453,Pee
2022-09-22 19:02:41.144591,Pee
2022-09-22 19:02:42.737465,Dinner
2022-09-22 22:15:18.733479,Pee
2022-09-22 23:32:54.485504,Walk
2022-09-22 23:32:55.694899,Excursion
2022-09-23 08:00:12.487542,Pee and Poop
2022-09-23 08:00:13.950559,Breakfast
2022-09-23 09:22:39.488078,Poop
2022-09-23 09:22:42.927795,Walk
2022-09-23 13:44:43.677367,Pee
2022-09-23 17:06:57.694829,Pee
2022-09-23 18:43:54.012110,Pee
2022-09-23 18:43:54.243785,Poop
2022-09-23 18:43:58.148153,Walk
2022-09-23 19:01:23.345764,Dinner
2022-09-23 20:55:08.204297,Pee
2022-09-24 07:48:02.006213,Pee
2022-09-24 07:49:42.961097,Breakfast
2022-09-24 09:09:10.599443,Poop
2022-09-24 09:09:11.544463,Walk
2022-09-24 10:25:27.610970,Pee
2022-09-24 13:38:44.533571,Pee
2022-09-24 13:38:45.463369,Walk
2022-09-24 18:08:15.617287,Pee
2022-09-24 18:08:16.119592,Poop
2022-09-24 18:08:16.652921,Pee
2022-09-24 18:08:17.131731,Walk
2022-09-24 18:08:17.611284,Excursion
2022-09-24 19:09:39.453060,Dinner
2022-09-25 07:37:21.497147,Pee and Poop
2022-09-25 07:37:23.538710,Breakfast
2022-09-25 08:59:26.627917,Crate
2022-09-25 11:51:52.201517,Pee
2022-09-25 11:52:18.575853,Crate
2022-09-25 15:57:31.416925,Pee
2022-09-25 18:38:27.596842,Pee
2022-09-25 18:38:28.390088,Poop
2022-09-25 18:38:29.074289,Pee
2022-09-25 18:38:29.792043,Walk
2022-09-25 18:38:30.485168,Excursion
2022-09-25 19:23:49.717726,Dinner
2022-09-25 22:23:50.226233,Pee
2022-09-26 08:37:39.143783,Pee
2022-09-26 08:37:39.719287,Poop
2022-09-26 08:38:26.146085,Breakfast
2022-09-26 11:35:10.950033,Pee
2022-09-26 11:35:13.086125,Walk
2022-09-26 16:15:51.827902,Pee and Poop
2022-09-26 17:15:53.488792,Walk
2022-09-26 17:15:54.075920,Excursion
2022-09-26 18:50:29.160004,Pee
2022-09-26 19:50:28.519349,Dinner
2022-09-26 22:50:44.866447,Pee
2022-09-27 09:23:54.184337,Pee and Poop
2022-09-27 09:23:56.303254,Walk
2022-09-27 09:23:57.785217,Breakfast
2022-09-27 12:39:14.507523,Pee
2022-09-27 16:14:17.208294,Accident
2022-09-27 17:14:19.398391,Walk
2022-09-27 19:28:04.067699,Poop
2022-09-27 19:28:04.851108,Walk
2022-09-27 19:28:05.519832,Excursion
2022-09-27 19:28:47.049419,Dinner
2022-09-28 08:30:37.194892,Pee
2022-09-28 10:31:05.411557,Poop
2022-09-28 10:37:09.080426,Walk
2022-09-28 08:43:08.791474,Breakfast
2022-09-28 14:43:02.779150,Pee
2022-09-28 14:43:03.269738,Pee
2022-09-28 17:39:43.418970,Pee
2022-09-28 17:39:45.607051,Excursion
2022-09-28 18:39:45.957405,Dinner
2022-09-28 19:56:19.864827,Accident
2022-09-29 09:12:59.415508,Pee and Poop
2022-09-29 09:13:02.448065,Breakfast
2022-09-29 10:10:14.600197,Walk
2022-09-29 19:20:02.670523,Dinner
2022-09-29 19:20:04.843311,Pee and Poop
2022-09-29 19:20:06.354156,Excursion
2022-09-29 22:08:19.312576,Pee
2022-09-30 08:54:52.572313,Pee
2022-09-30 08:54:53.135975,Walk
2022-09-30 10:55:16.251870,Pee
2022-09-30 11:58:55.222698,Pee
2022-09-30 15:25:13.834464,Pee
2022-09-30 17:40:20.479496,Pee
2022-09-30 18:20:33.861596,Accident
2022-09-30 20:01:28.114844,Dinner
2022-10-08 22:59:39.501136,Pee and Poop
2022-10-09 08:22:22.258352,Pee and Poop
2022-10-09 08:22:25.973697,Breakfast
2022-10-09 10:00:22.081783,Walk
2022-10-09 10:02:19.819029,Crate
2022-10-09 13:42:46.502300,Excursion
2022-10-10 08:23:29.548151,Breakfast
2022-10-10 08:23:32.887625,Pee
2022-10-10 11:46:15.494257,Poop
2022-10-10 11:46:16.109656,Walk
2022-10-10 11:46:16.762129,Pee
2022-10-10 14:51:04.500383,Pee
2022-10-11 07:43:50.516092,Breakfast
2022-10-11 07:52:51.895832,Pee and Poop
2022-10-11 10:55:14.427353,Walk
2022-10-11 10:55:14.973300,Pee
2022-10-11 13:54:47.331323,Pee
2022-10-11 17:39:38.943184,Walk
2022-10-11 17:39:40.168246,Pee
2022-10-11 17:41:05.950888,Pee
2022-10-11 19:38:58.332168,Excursion
2022-10-11 19:38:59.506960,Pee and Poop
2022-10-11 19:39:04.394844,Dinner
2022-10-12 08:42:12.234716,Pee
2022-10-12 09:06:31.485890,Breakfast
2022-10-12 09:35:58.561426,Walk
2022-10-12 12:58:13.286190,Pee
2022-10-12 14:38:38.355771,Play
2022-10-12 18:41:46.443012,Walk
2022-10-12 18:41:49.117874,Pee
2022-10-12 18:41:50.635799,Dinner
2022-10-13 09:18:44.916290,Pee and Poop
2022-10-13 09:18:45.753482,Walk
2022-10-13 12:56:09.396159,Pee
2022-10-13 17:57:56.721259,Pee and Poop
2022-10-13 17:57:58.726430,Walk
2022-10-13 17:58:49.697212,Dinner
2022-10-13 21:54:32.058130,Pee
2022-10-14 08:36:01.241792,Pee and Poop
2022-10-14 08:36:02.331291,Breakfast
2022-10-14 10:00:56.250124,Pee
2022-10-14 10:00:56.745894,Walk
2022-10-14 17:15:36.828367,Pee
2022-10-14 18:14:09.046097,Walk
2022-10-14 18:14:09.633310,Pee and Poop
2022-10-14 18:14:11.835476,Dinner
2022-10-14 23:27:56.581554,Pee
2022-10-15 08:46:58.165223,Breakfast
2022-10-15 09:54:02.427607,Walk
2022-10-15 09:54:02.673010,Pee and Poop
2022-10-15 16:20:26.128890,Accident
2022-10-15 16:20:28.687832,Pee
2022-10-15 16:20:29.193464,Dinner
2022-10-17 08:47:01.621066,Walk
2022-10-17 08:47:02.354868,Pee and Poop
2022-10-17 17:29:16.747381,Pee
2022-10-17 19:27:18.517973,Dinner
2022-10-17 19:36:51.795512,Pee
2022-10-18 08:12:02.522753,Pee and Poop
2022-10-18 08:12:05.511007,Breakfast
2022-10-18 18:00:17.660684,Walk
2022-10-18 18:00:20.249130,Pee and Poop
2022-10-18 18:41:09.038124,Dinner
2022-10-18 18:50:56.768840,Pee
