time,history
2022-09-07 09:44:47.352988,Walk
2022-09-07 12:27:47.390254,Pee
2022-09-07 16:11:25.671995,Pee
2022-09-07 16:50:50.072666,Play
2022-09-07 17:05:08.387816,Poop
2022-09-07 17:49:38.558224,Play
2022-09-07 20:08:55.479993,Pee
2022-09-07 21:08:07.197984,Walk
2022-09-07 21:08:54.704443,Excursion
2022-09-07 21:08:55.479993,Pee
2022-09-08 08:20:01.852704,Pee
2022-09-08 08:20:05.325803,Play
2022-09-08 08:24:42.944864,Accident
2022-09-08 08:28:56.815836,Breakfast
2022-09-08 13:20:41.821599,Pee
2022-09-08 15:21:12.003814,Skin
2022-09-08 17:25:51.200560,Walk
2022-09-08 17:25:52.331416,Pee
2022-09-08 17:25:52.577958,Poop
2022-09-08 18:38:47.842175,Dinner
2022-09-08 18:45:00.000000, Crate
2022-09-08 22:16:35.615079,Pee
2022-09-09 08:15:39.410902,Walk
2022-09-09 08:15:39.994274,Pee
2022-09-09 08:15:40.274411,Poop
2022-09-09 08:37:36.107107,Play
2022-09-09 09:44:38.443307,Breakfast
2022-09-09 11:10:18.233910,Pee
2022-09-09 11:10:19.364666,Walk
2022-09-09 13:10:36.961683,Pee
2022-09-09 14:10:37.668839,Excursion
2022-09-09 16:47:27.817191,Pee
2022-09-09 17:43:38.665841,Dinner
